SegmentName:,X-coord:,Y-coord:,Z-coord:,Area:,Elasticity:,Thickness:,Radius:,Type:,BC:,Total Nodes:
ascending_aorta,16.902,-118.85,1245.2,0.00074,400000,0.0018,12,Artery,input,331
ascending_aorta,11.299,-122.32,1257.2,0.0006875,400000,0.0018,12,Artery,,
ascending_aorta,6.7425,-125.08,1271,0.000635,400000,0.0018,12,Artery,,
ascending_aorta,5.9938,-123.27,1291.4,0.0005825,400000,0.0018,11,Artery,,
ascending_aorta,12.937,-111.31,1303.4,0.00053,400000,0.0018,11,Artery,bifurcation,
aortic_arch,15.312,-105.99,1305,0.0005,400000,0.0018,11,Artery,,
aortic_arch,17.362,-100.3,1305.5,0.0005,400000,0.0018,11,Artery,bifurcation,
aortic_arch,19.23,-94.653,1305.3,0.0005,400000,0.0018,11,Artery,,
aortic_arch,20.753,-89.434,1304.6,0.0005,400000,0.0018,11,Artery,bifurcation,
descending_aorta,23.207,-76.691,1299.7,0.00046,400000,0.001,11,Artery,,
descending_aorta,25.177,-64.161,1289.4,0.000446667,400000,0.001,11,Artery,,
brachiocephalic,7.3137,-110.28,1313.1,0.00013,400000,0.0009,4.5517,Artery,,
brachiocephalic,0.43575,-107.97,1320.2,0.00013,400000,0.0009,4.2877,Artery,,
brachiocephalic,-7.7863,-104.08,1326.1,0.00013,400000,0.0009,3.8838,Artery,,
brachiocephalic,-11.718,-101.48,1334.2,0.00013,400000,0.0009,2.9097,Artery,bifurcation,
descending_aorta,23.35,-57.955,1271.5,0.000420001,400000,0.001,10.688,Artery,,
descending_aorta,22.706,-55.797,1254.6,0.000393335,400000,0.001,10.657,Artery,,
descending_aorta,21.469,-57.405,1237.2,0.000366669,400000,0.001,10.471,Artery,,
descending_aorta,19.597,-62.604,1219,0.000340003,400000,0.001,10.244,Artery,,
descending_aorta,17.266,-70.623,1199.9,0.00032,400000,0.001,10.012,Artery,,
descending_aorta,14.434,-80.99,1175.5,0.00032,400000,0.001,9.7204,Artery,,
descending_aorta,12.07,-89.321,1153.4,0.00028,400000,0.001,9.4177,Artery,,
descending_aorta,10.157,-95.602,1132.7,0.00028,400000,0.001,9.162,Artery,,
descending_aorta,8.341,-101.77,1107.9,0.00024,400000,0.001,8.8904,Artery,,
descending_aorta,7.13,-107.1,1085.6,0.0002,400000,0.001,8.6136,Artery,bifurcation,
descending_aorta,6.8053,-109.37,1076.75,0.0002,400000,0.001,8.4415,Artery,,
descending_aorta,6.4806,-111.64,1067.9,0.0002,400000,0.001,8.4415,Artery,bifurcation,
descending_aorta,6.25005,-114.255,1057.25,0.00017,400000,0.001,8.4415,Artery,,
descending_aorta,6.0195,-116.87,1046.6,0.00017,400000,0.001,8.0362,Artery,trifurcation,
descending_aorta,5.6393,-119.41,1029.5,0.00016,400000,0.001,7.8386,Artery,,
descending_aorta,5.4433,-121.11,1015.8,0.00016,400000,0.001,7.5631,Artery,,
descending_aorta,5.4339,-122.98,997.89,0.00014,400000,0.001,7.375,Artery,,
descending_aorta,5.5251,-123.96,984.17,0.00014,400000,0.001,7.1719,Artery,bifurcation,
descending_aorta,5.2858,-124.38,971.1,0.00012,400000,0.001,6.6498,Artery,,
descending_aorta,5.4429,-124.19,958.34,0.00012,400000,0.001,6.111,Artery,bifurcation,
left_common_iliac_artery,17.477,-111.26,934.02,6E-05,400000,0.0007,5.3578,Artery,,
left_common_iliac_artery,31.65,-94.616,905.74,6E-05,400000,0.0007,3.6369,Artery,bifurcation,
left_internal_iliac_artery,25.734,-91.066,890.23,2.5E-05,400000,0.0006,2.4537,Artery,,
left_internal_iliac_artery,25.591,-73.016,876.25,1E-05,400000,0.0006,2.134,Artery,,
left_internal_iliac_artery,29.084,-50.218,867.24,1E-05,400000,0.0006,1.6033,Artery,,
left_internal_iliac_artery,29.869,-29.479,859.21,1E-05,400000,0.0006,1.4344,Artery,terminal,
left_external_iliac_artery,41.622,-85.686,886.72,3.5E-05,400000,0.0006,4.8636,Artery,,
left_external_iliac_artery,51.802,-83.409,866.14,3.2E-05,400000,0.0006,4.3004,Artery,,
left_external_iliac_artery,59.373,-94.697,843.61,3.2E-05,400000,0.0006,3.9463,Artery,,
left_external_iliac_artery,55.856,-117.47,830.95,3.2E-05,400000,0.0006,4.3552,Artery,bifurcation,
left_deep_femoral_artery,61.006,-132.83,798.36,1.5E-05,400000,0.0005,3.3213,Artery,,
left_deep_femoral_artery,71.7613,-126.325,769.165,1.5E-05,400000,0.0005,3.0511,Artery,,
left_deep_femoral_artery,80.5541,-117.595,739.636,1.5E-05,400000,0.0005,2.7868,Artery,,
left_deep_femoral_artery,81.1739,-111.12,700.023,1.5E-05,400000,0.0005,2.496,Artery,,
left_deep_femoral_artery,79.8983,-109.627,658.92,1.5E-05,400000,0.0005,2.1453,Artery,,
left_deep_femoral_artery,78.695,-117.8,612.77,1.5E-05,400000,0.0005,1.8221,Artery,,
left_deep_femoral_artery,72.928,-112.61,566.93,1.5E-05,400000,0.0005,1.4627,Artery,,
left_deep_femoral_artery,62.384,-89.624,513.1,1.5E-05,400000,0.0005,0.85705,Artery,terminal,
left_femoral_artery,49.84,-131.79,799.84,3E-05,400000,0.0006,5.3408,Artery,,
left_femoral_artery,49.717,-137.16,765.45,3E-05,400000,0.0006,5.4829,Artery,,
left_femoral_artery,47.616,-137.3,719.74,2.75E-05,400000,0.0006,5.3815,Artery,,
left_femoral_artery,44.896,-134.8,669.19,2.5E-05,400000,0.0006,5.3652,Artery,,
left_femoral_artery,43.083,-121.86,602.51,1.8E-05,400000,0.0006,5.2328,Artery,,
left_femoral_artery,45.714,-111.74,546.99,1.8E-05,400000,0.0006,5.3069,Artery,,
left_femoral_artery,52.339,-103.29,507.81,1.8E-05,400000,0.0006,5.3786,Artery,,
left_femoral_artery,61.166,-90.487,475.15,1.8E-05,400000,0.0006,4.5818,Artery,bifurcation,
left_profundus_artery,48.11,-108.28,460.27,1E-05,400000,0.0006,2.8693,Artery,,
left_profundus_artery,40.93,-105.51,440.78,1E-05,400000,0.0006,2.3731,Artery,,
left_profundus_artery,39.404,-96.058,421.17,1E-05,400000,0.0006,1.9056,Artery,,
left_profundus_artery,51.109,-103.16,398.37,1E-05,400000,0.0006,0.9969,Artery,terminal,
left_popliteal_artery,69.55,-77.117,453.7,1.8E-05,400000,0.0006,4.7869,Artery,,
left_popliteal_artery,72.948,-65.117,424.05,1.8E-05,400000,0.0006,4.5566,Artery,,
left_popliteal_artery,73.586,-59.665,402.81,1.8E-05,400000,0.0006,4.3981,Artery,,
left_popliteal_artery,76.343,-58.526,373.09,1.8E-05,400000,0.0006,4.1771,Artery,,
left_popliteal_artery,81.077,-66.415,343.7,1.8E-05,400000,0.0006,3.9512,Artery,,
left_popliteal_artery,90.9306,-69.6824,315.952,1.8E-05,400000,0.0006,3.7245,Artery,,
left_popliteal_artery,90.559,-65.147,299.34,1.8E-05,400000,0.0006,3.5956,Artery,,
left_popliteal_artery,88.126,-56.133,286.66,1.8E-05,400000,0.0006,3.3669,Artery,bifurcation,
left_posterior_tibial_artery,77.971,-58.109,262.17,4.8E-06,800000,0.0003,2.8455,Artery,,
left_posterior_tibial_artery,68.534,-60.947,230.45,4.8E-06,800000,0.0003,2.6655,Artery,,
left_posterior_tibial_artery,62.636,-64.557,183.2,4.8E-06,800000,0.0003,2.4117,Artery,,
left_posterior_tibial_artery,60.263,-63.643,130.06,4.8E-06,800000,0.0003,2.1235,Artery,,
left_posterior_tibial_artery,53.974,-53.42,66.313,4.8E-06,800000,0.0003,1.7742,Artery,,
left_posterior_tibial_artery,56.898,-62.16,-0.06469,4.8E-06,800000,0.0003,1.4068,Artery,,
left_posterior_tibial_artery,53.183,-60.528,-11.274,4.8E-06,800000,0.0003,1.3421,Artery,,
left_posterior_tibial_artery,45.834,-56.976,-24.489,4.8E-06,800000,0.0003,1.2516,Artery,,
left_posterior_tibial_artery,55.49,-68.299,-33.011,4.8E-06,800000,0.0003,1.1652,Artery,,
left_posterior_tibial_artery,67.457,-85.747,-40.035,4.8E-06,800000,0.0003,0.90731,Artery,terminal,
left_anterior_tibial_artery,100.956,-74.8018,291.745,4.3E-06,800000,0.0003,3.3956,Artery,,
left_anterior_tibial_artery,97.222,-89.2849,271.601,4.3E-06,800000,0.0003,3.3272,Artery,,
left_anterior_tibial_artery,92.9762,-92.94,254.564,4.3E-06,800000,0.0003,3.2707,Artery,,
left_anterior_tibial_artery,92.515,-94.307,230.85,4.3E-06,800000,0.0003,3.1981,Artery,,
left_anterior_tibial_artery,92.994,-94.639,205.91,4.3E-06,800000,0.0003,3.1244,Artery,,
left_anterior_tibial_artery,91.954,-93.713,178.4,4.3E-06,800000,0.0003,3.0409,Artery,,
left_anterior_tibial_artery,90.012,-90.922,143.8,4.3E-06,800000,0.0003,2.9298,Artery,,
left_anterior_tibial_artery,87.342,-89.11,101.54,4.3E-06,800000,0.0003,2.7969,Artery,,
left_anterior_tibial_artery,79.264,-94.82,52.204,4.3E-06,800000,0.0003,2.6389,Artery,,
left_anterior_tibial_artery,70.771,-91.9,6.5887,4.3E-06,800000,0.0003,2.2518,Artery,terminal,
right_common_iliac_artery,-11.871,-120.84,934.6,6E-05,400000,0.0007,5.3578,Artery,,
right_common_iliac_artery,-32.747,-109.506,905.234,6E-05,400000,0.0007,4.2705,Artery,bifurcation,
right_internal_iliac_artery,-28.0421,-98.2035,886.752,2.5E-05,400000,0.0006,2.6312,Artery,,
right_internal_iliac_artery,-28.7275,-80.1093,872.251,1E-05,400000,0.0006,2.4715,Artery,,
right_internal_iliac_artery,-33.1619,-59.8649,862.965,1E-05,400000,0.0006,2.1059,Artery,,
right_internal_iliac_artery,-41.1826,-41.867,856.117,1E-05,400000,0.0006,3.4872,Artery,terminal,
right_external_iliac_artery,-46.443,-92.773,889.17,3.5E-05,400000,0.0006,4.4719,Artery,,
right_external_iliac_artery,-54.489,-83.096,872.19,3.2E-05,400000,0.0006,4.3052,Artery,,
right_external_iliac_artery,-57.055,-92.387,843.35,3.2E-05,400000,0.0006,4.0845,Artery,,
right_external_iliac_artery,-54.256,-118.59,822.45,3.2E-05,400000,0.0006,4.238,Artery,bifurcation,
right_deep_femoral_artery,-68.7608,-131.307,786.299,1.5E-05,400000,0.0005,3.2109,Artery,,
right_deep_femoral_artery,-78.9543,-125.329,758.254,1.5E-05,400000,0.0005,2.9628,Artery,,
right_deep_femoral_artery,-82.17,-117.57,728.46,1.5E-05,400000,0.0005,2.7087,Artery,,
right_deep_femoral_artery,-80.7238,-113.703,690.713,1.5E-05,400000,0.0005,2.4133,Artery,,
right_deep_femoral_artery,-79.825,-112.75,639.63,1.5E-05,400000,0.0005,2.096,Artery,,
right_deep_femoral_artery,-76.74,-116.83,595.34,1.5E-05,400000,0.0005,1.7059,Artery,,
right_deep_femoral_artery,-71.896,-112.19,556.29,1.5E-05,400000,0.0005,1.4028,Artery,,
right_deep_femoral_artery,-62.428,-89.607,513.06,1.5E-05,400000,0.0005,0.83032,Artery,terminal,
right_femoral_artery,-50.318,-135.53,786.91,3E-05,400000,0.0006,5.3533,Artery,,
right_femoral_artery,-48.76,-137.88,744.3,3E-05,400000,0.0006,5.9838,Artery,,
right_femoral_artery,-45.412,-136.24,680.01,2.75E-05,400000,0.0006,5.3614,Artery,,
right_femoral_artery,-43.354,-122.07,603.09,2.5E-05,400000,0.0006,5.3017,Artery,,
right_femoral_artery,-47.215,-110.23,536.78,1.8E-05,400000,0.0006,5.5211,Artery,,
right_femoral_artery,-60.821,-90.503,475.14,1.8E-05,400000,0.0006,4.6403,Artery,bifurcation,
right_profundus_artery,-47.662,-108.59,459.38,1E-05,400000,0.0006,2.8487,Artery,,
right_profundus_artery,-40.646,-104.91,439.53,1E-05,400000,0.0006,2.3414,Artery,,
