SegmentName:,X-coord:,Y-coord:,Z-coord:,Area:,Elasticity:,Thickness:,Radius:,Type:,BC:,Total Nodes:
ascending_aorta,16.902,-118.85,1245.2,452.38934211693,400000,0.0018,12,Artery,input,325
ascending_aorta,11.299,-122.32,1257.2,452.38934211693,400000,0.0018,12,Artery,,
ascending_aorta,6.7425,-125.08,1271,452.38934211693,400000,0.0018,12,Artery,,
aortic_arch,5.9938,-123.27,1291.4,380.132711084365,400000,0.0018,11,Artery,,
aortic_arch,12.937,-111.31,1303.4,380.132711084365,400000,0.0018,11,Artery,bifurcation,
aortic_arch,15.312,-105.99,1305,380.132711084365,400000,0.0018,11,Artery,,
aortic_arch,17.362,-100.3,1305.5,380.132711084365,400000,0.0018,11,Artery,bifurcation,
aortic_arch,19.23,-94.653,1305.3,380.132711084365,400000,0.0018,11,Artery,,
aortic_arch,20.753,-89.434,1304.6,380.132711084365,400000,0.0018,11,Artery,bifurcation,
aortic_arch,23.207,-76.691,1299.7,380.132711084365,400000,0.0018,11,Artery,,
aortic_arch,25.177,-64.161,1289.4,380.132711084365,400000,0.0018,11,Artery,,
brachiocephalic,7.3137,-110.28,1313.1,65.0874314284965,400000,0.0018,4.5517,Artery,,
brachiocephalic,0.43575,-107.97,1320.2,57.7562057855311,400000,0.0018,4.2877,Artery,,
brachiocephalic,-7.7863,-104.08,1326.1,47.3874770929692,400000,0.0018,3.8838,Artery,,
brachiocephalic,-11.718,-101.48,1334.2,26.5978358118339,400000,0.0018,2.9097,Artery,bifurcation,
descending_aorta,23.35,-57.955,1271.5,358.874634305396,400000,0.0018,10.688,Artery,,
descending_aorta,22.706,-55.797,1254.6,356.795858154479,400000,0.0018,10.657,Artery,,
descending_aorta,21.469,-57.405,1237.2,344.45000221166,400000,0.0018,10.471,Artery,,
descending_aorta,19.597,-62.604,1219,329.677275368722,400000,0.0018,10.244,Artery,,
descending_aorta,17.266,-70.623,1199.9,314.913699985183,400000,0.0018,10.012,Artery,,
descending_aorta,14.434,-80.99,1175.5,296.837076890047,400000,0.0018,9.7204,Artery,,
descending_aorta,12.07,-89.321,1153.4,278.637507472165,400000,0.0018,9.4177,Artery,,
descending_aorta,10.157,-95.602,1132.7,263.712337076242,400000,0.0018,9.162,Artery,,
descending_aorta,8.341,-101.77,1107.9,248.309008267381,400000,0.0018,8.8904,Artery,,
descending_aorta,7.13,-107.1,1085.6,233.087655082006,400000,0.0018,8.6136,Artery,trifurcation,
descending_aorta,6.4806,-111.64,1067.9,223.866506643326,400000,0.0018,8.4415,Artery,,
descending_aorta,6.0195,-116.87,1046.6,202.885657163383,400000,0.0018,8.0362,Artery,trifurcation,
descending_aorta,5.6393,-119.41,1029.5,193.030919324079,400000,0.0018,7.8386,Artery,,
descending_aorta,5.4433,-121.11,1015.8,179.700612807774,400000,0.0018,7.5631,Artery,,
descending_aorta,5.4339,-122.98,997.89,170.873187924157,400000,0.0018,7.375,Artery,,
descending_aorta,5.5251,-123.96,984.17,161.591429743722,400000,0.0018,7.1719,Artery,bifurcation,
descending_aorta,5.2858,-124.38,971.1,138.92072461258,400000,0.0018,6.6498,Artery,,
descending_aorta,5.4429,-124.19,958.34,117.320644506899,400000,0.0018,6.111,Artery,bifurcation,
left_common_iliac_artery,31.65,-94.616,905.74,41.5539767507025,400000,0.0018,3.6369,Artery,,
left_common_iliac_artery,17.477,-111.26,934.02,118.1245045851,400000,0.0018,6.1319,Artery,bifurcation,
left_internal_iliac_artery,25.734,-91.066,890.23,18.9144099863857,400000,0.0018,2.4537,Artery,,
left_internal_iliac_artery,25.591,-73.016,876.25,14.3066747143712,400000,0.0018,2.134,Artery,,
